de;ru;pt;ko;zhs;zht;en;it;fr;es;ja
Geist;Дух;Espírito;신령;精怪;精靈;Spirit;Spirito;Esprit;Espíritu;スピリット
Sage;Сага;Saga;서사시;传纪;傳紀;Saga;Saga;Saga;Saga;英雄譚
Zendikar;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Zendikar;Zendikar;Zendikar;Zendikar;ゼンディカー
Fledermaus;Летучая-мышь;Morcego;박쥐;蝙蝠;蝙蝠;Bat;Pipistrello;Chauve-souris;Murciélago;コウモリ
Trilobit;Трилобит;Trilobita;삼엽충;三叶虫;三葉蟲;Trilobite;Trilobite;Trilobite;Trilobites;三葉虫
Greif;Грифон;Grifo;그리핀;狮鹫;獅鷲;Griffin;Grifone;Griffon;Grifo;グリフィン
Gnom;Карлик;Gnomo;놈;地侏;地侏;Gnome;Gnomo;Gnome;Gnomo;ノーム
Ral;Рал;Ral;랄;拉尔;拉爾;Ral;Ral;Ral;Ral;ラル
Zauberer;Чародей;Mago;마도사;法术师;魔法師;Wizard;Mago;Sorcier;Hechicero;ウィザード
Chimäre;Химера;Quimera;키메라;盖美拉;蓋美拉;Chimera;Chimera;Chimère;Quimera;キマイラ
